"long",872
"best",873
"quick",874
"such",877
"many",877
"blurry",878
"good",880
"little",881
"disappointed",881
"upper",882
"right",882
"little shaky",882
"difficult",883
"steady",883
"good",884
"not so good",884
"good",885
"not really sure",885
"not really sure",885
"nice",887
"wide",888
"great",888
"interior",888
"terrific",888
"Great",889
"not so good",889
"such",889
"amazing",892
"great",893
"nicer",893
"great",894
"excellent",894
"first",894
"Very high",895
"Very happy",896
"such",898
"fond",898
"lovely",898
"now unable",899
"due",899
"just sick",899
"such",900
"amazing",900
"Professional",909
"great",912
"Small",915
"big",915
"happy",917
"great",918
"pro",918
"pro",918
"many",918
"excellent",918
"long",918
"professional",920
"more",920
"Really nice",921
"Good",922
"great",923
"Little bulky",924
"discreet",924
"great",924
"Good",925
"beautiful",926
"cheap",928
"pretty superb",928
"only",929
"little",929
"annoying",929
"little",932
"petite",934
"normal",935
"many",936
"old",937
"different",937
"good",938
"enough",938
"great",939
"starter",939
"good",939
"Best",940
"compact",941
"packed",941
"great",941
"lazy",941
"amazing",942
"reasonable",942
"simple",942
"great",943
"really good",944
"steady",944
"wide",944
"third",944
"basic",944
"good",944
"Small",945
"functional",945
"incredible",945
"great",945
"large",945
"enough",945
"very easy",945
"extremely impressed",947
"very nice",948
"not tech",949
"easy",949
"most",949
"great",950
"very easy",952
"very sharp",953
"audio",953
"only",954
"bit bulky",954
"not heavy",956
"n't too burdensome",956
"high",957
"good",960
"clear",961
"amazing",961
"not hard",962
"Definitely worth",963
"starter",964
"awesome",965
"amazingly simple",966
"great",966
"very easy",966
"incredible",967
"least",967
"then digital",968
"comparable",969
"old",969
"awesome",970
"reflex",971
"professional",971
"just awesome",971
"little",972
"AMAZING",973
"available",976
"first",976
"fearful",977
"worth",978
"good",979
"insufficient",980
"Too many",981
"available",982
"questionable",983
"many",984
"personal",984
"Best",988
"terrific",989
"even better",989
"amateur",990
"easy",991
"Terrific",992
"good",994
"possible",995
"more",996
"awesome",997
"really nice",997
"nice",998
"great",998
"great",999
"many",1000
"good",1001
"as good",1002
"not better",1002
"higher",1002
"good",1003
"good",1003
"only",1003
"lightweight",1004
"great",1004
"only",1005
"easy",1007
"more versatile",1008
"Fun",1009
"quick",1009
"Good",1010
"great",1011
"really tough",1012
"good",1012
"great",1013
"terrible",1013
"plus",1014
"recent",1015
"very high",1017
"tech",1017
"very happy",1018
"good",1019
"such",1020
"fascinating",1022
"beautiful",1022
"so many",1023
"just very enjoyable",1025
"very convient",1026
"easy",1026
"very nice",1026
"worth",1026
"big",1028
"heavy",1028
"perfect",1028
"rather easy",1030
"as sophisticated",1030
"automatic",1031
"very nice",1031
"bigger",1032
"great",1032
"easy",1032
"easy",1032
"good",1033
"original",1034
"next",1035
"popular",1036
"great",1037
"great",1037
"Easy",1038
"advanced",1039
"very easy",1040
"digital",1040
"huge",1041
"so much",1041
"Clear",1043
"beautiful",1043
"amateur",1044
"easy",1044
"simple",1044
"appropriate",1045
"advanced",1045
"AWESOME",1046
"amazing",1047
"so glad",1047
"GREAT",1048
"fairly complex",1050
"very little",1050
"great",1051
"small",1053
"still comfortable",1053
"great",1053
"high",1053
"amazing",1054
"very pleased",1056
"good",1057
"great",1057
"very satisfied",1058
"great",1059
"long",1060
"clear",1060
"great",1062
"other",1063
"highest",1065
"Great",1066
"very reasonable",1066
"possible",1067
"better",1068
"great",1068
"great",1071
"easy",1071
"so glad",1072
"so easy",1073
"wonderful",1073
"clear",1073
"sure",1074
"good",1074
"easy",1074
"great",1075
"Glad",1077
"best",1080
"cheaper",1081
"local",1081
"Great",1083
"great",1083
"so good",1086
"tough",1088
"sole",1089
"first",1089
"very disappointed",1089
"really good",1091
"good",1091
"much",1092
"super",1093
"slow",1093
"really not happy",1096
"much",1098
"other",1098
"best",1098
"now happy",1099
"worse",1100
"useless",1100
"Prime",1101
"unable",1101
"original",1102
"worth",1104
"due",1105
"complete",1105
"convoluted",1105
"useless",1106
"old",1106
"Many",1108
"possible",1110
"dark",1114
"few",1117
"wider",1119
"great",1119
"recent",1120
"high",1120
"many",1121
"historic",1121
"average",1122
"worth",1123
"easy",1125
"so light",1125
"beautiful",1126
"bright",1126
"little",1127
"too complicated",1127
"more serious",1128
"more",1128
"sturdy",1129
"bulky",1129
"fantastic",1130
"internal",1131
"sd",1131
"same",1132
"sure",1133
"other",1134
"simple",1134
"complete",1135
"better",1136
"compact",1137
"really good",1137
"easy",1139
"really great",1139
"especially impressed",1140
"multiple",1141
"good",1141
"ancient",1142
"ecstatic",1143
"interior",1143
"standard",1144
"incredible",1144
"special",1145
"much",1145
"little",1145
"so great",1146
"worth",1146
"fancier",1147
"even higher",1148
"other",1148
"better",1150
"kind enough",1151
"especially pleased",1151
"30x",1151
"wide",1151
"positive",1152
"short",1153
"satisfied",1155
"mere",1158
"5x",1158
"70x",1159
"very good",1161
"absolutely fantastic",1162
"Nice",1163
"smooth",1163
"absolutely fantastic",1163
"only",1164
"so good",1164
"crisp",1165
"sharp",1165
"easy",1166
"only",1166
"sure",1166
"green",1166
"first",1166
"top",1166
"best",1166
"bad",1166
"bulky",1166
"not bad",1166
"lame",1167
"extra",1169
"more",1169
"extensive",1170
"countless",1173
"worth",1173
"distorted",1173
"slow",1173
"very disappointing",1174
"worst",1175
"much lower",1178
"much larger",1178
"wonderful",1179
"close",1179
"rechargeable",1180
"separately fortunately high-capacity",1181
"quite inexpensive",1181
"easy",1182
"old",1182
"good",1182
"whay",1182
"harder",1182
"worth",1182
"easy",1183
"easy",1183
"Very happy",1184
"general",1185
"easy",1186
"ready",1188
"new",1190
"fairly clear",1191
"sharp",1191
"huge",1192
"Really cool",1194
"nice",1195
"really worth",1196
"Great",1197
"not so good",1198
"low",1198
"light",1198
"pretty basic",1200
"low",1201
"free",1202
"definetely",1203
"more",1203
"bad",1204
"easy",1206
"great",1206
"small",1206
"best",1208
"easy",1209
"excellent",1209
"accessory",1210
"magazine-cover",1211
"awesome",1214
"great",1214
"digital",1215
"too good",1216
"true",1216
"small",1217
"such",1217
"packed",1217
"nice",1218
"optical",1219
"ridiculous",1219
"very intuitive",1220
"other",1220
"very nice",1221
"biggest",1222
"good",1222
"GREAT",1223
"awesome",1223
"more",1224
"incredible",1227
"small",1227
"best",1228
"small",1228
"big",1228
"Not automatic",1230
"Long",1230
"Not good",1230
"bulky",1231
"really good",1232
"basic",1232
"very good",1233
"big",1233
"low",1233
"bigger",1233
"very happy",1235
"really nice",1235
"Extra",1237
"inadequate",1238
"long",1238
"quite near",1238
"frequent",1240
"infrequent",1240
"still simple",1242
